district_code,district_name,state_code,state_name,complex_code,court_name,est_code,cino,case_no,fil_no,fil_year,reg_no,reg_year,type_name,date_of_decision,date_of_filing,dt_regis,disp_name,disp_nature
11,South East,26,Delhi,1,"District and Sessions Judge, South-East, Saket",DLSE01,DLSE010105802018,202300006222018,4499,2018,622,2018,SC,2020-01-25,2018-12-22,2018-12-29,P.O. CONSIGN,12
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010107102016,202300288272016,74331,2016,28827,2016,SC,2017-01-02,2016-08-16,2016-08-16,P.O. CONSIGN,12
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010147072016,202300289752016,75875,2016,28975,2016,SC,2018-05-26,2016-10-21,2016-10-21,P.O. CONSIGN,12
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010027002014,202300283892016,23236,2014,28389,2016,SC,2016-07-29,2014-05-19,2014-05-19,P.O. CONSIGN,12
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010049872013,202302711632013,43395,2013,271163,2013,SC,2013-08-29,2013-08-29,2013-08-29,CANCEL,53
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010013182015,202300276172016,14113,2015,27617,2016,SC,2017-01-05,2015-03-13,2015-03-13,P.O. CONSIGN,12
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010108112019,202300006872019,4565,2019,687,2019,SC,2019-09-13,2019-08-08,2019-08-08,Proceeding close,75
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010001562015,202300272222016,61852,2015,27222,2016,SC,2018-10-10,2015-11-16,2015-11-16,QUASH,17
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010050502014,202300271462014,24334,2014,27146,2014,SC,2014-05-12,2014-05-12,2014-05-12,CANCEL,53
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010038702014,202300271202014,9736,2014,27120,2014,SC,2014-04-29,2014-02-24,2014-02-24,QUASH,17
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010046712016,202300285842016,16046,2016,28584,2016,SC,2018-04-21,2016-03-01,2016-03-01,CLUBBED IN FIR,70
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010004812013,202300275632016,48821,2013,27563,2016,SC,2019-08-08,2013-09-24,2013-09-24,QUASH,17
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010012952015,202300276072016,50062,2015,27607,2016,SC,2018-08-09,2015-09-15,2015-09-15,CLUBBED IN FIR,70
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010040312016,202300285142016,6621,2016,28514,2016,SC,2019-01-05,2016-01-30,2016-01-29,P.O. CONSIGN,12
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010101802013,202302711442013,34926,2013,271144,2013,SC,2015-07-28,2013-07-17,2013-07-17,QUASH,17
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010007212015,202300274392016,21836,2015,27439,2016,SC,2017-08-09,2015-04-28,2015-04-27,P.O. CONSIGN,12
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010046722016,202300285852016,16051,2016,28585,2016,SC,2018-04-21,2016-03-01,2016-03-01,CLUBBED IN FIR,70
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010052182018,203600000492018,1934,2018,49,2018,M Crl,2018-04-20,2018-04-17,2018-04-18,CLUBBED IN FIR,70
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010034542015,202300281812016,65387,2015,28181,2016,SC,2018-01-03,2015-11-21,2015-11-21,QUASH,17
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010053082016,202300286602016,2545,2016,28660,2016,SC,2019-07-03,2016-01-02,2016-01-02,P.O. CONSIGN,12
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010114092016,202200584032016,74609,2016,58403,2016,Cr Rev,2016-09-08,2016-08-24,2016-08-26,SET ASIDE,54
8,Central,26,Delhi,1,"District and Sessions Judge, Central, THC",DLCT01,DLCT010017762016,202300279832016,21412,2016,27983,2016,SC,2018-04-21,2016-03-22,2016-03-22,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010084472018,202300006342018,4271,2018,634,2018,SC,2020-01-29,2018-09-14,2018-09-14,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010020762019,202300001562019,938,2019,156,2019,SC,2020-03-07,2019-03-15,2019-03-22,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010053442016,202300579752016,44855,2016,57975,2016,SC,2017-10-07,2016-08-08,2016-08-08,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010011182014,202300569502016,39120,2014,56950,2016,SC,2017-12-21,2014-08-20,2014-08-20,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010104322018,202300007782018,5325,2018,778,2018,SC,2019-11-30,2018-11-17,2018-11-17,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010012322015,202300567442016,4309,2015,56744,2016,SC,2016-07-23,2015-01-22,2015-01-22,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010011862015,202300567062016,55962,2015,56706,2016,SC,2020-02-28,2015-10-15,2015-10-15,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010079562019,202300005742019,3601,2019,574,2019,SC,2020-03-04,2019-09-27,2019-09-28,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010008982019,202300000672019,422,2019,67,2019,SC,2019-03-23,2019-02-04,2019-02-04,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010004332013,202300565122016,29168,2013,56512,2016,SC,2020-01-30,2013-06-06,2013-06-06,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010025222015,202300575602016,69001,2015,57560,2016,SC,2020-02-29,2015-12-15,2015-12-15,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010027792017,202300002052017,1466,2017,205,2017,SC,2017-09-15,2017-03-30,2017-03-30,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010079002017,202300005262017,3968,2017,526,2017,SC,2017-11-20,2017-08-31,2017-08-31,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010024252015,202300575142016,17028,2015,57514,2016,SC,2017-08-24,2015-03-30,2015-03-30,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010024802014,202300047292014,1386,2014,4729,2014,SC,2014-05-17,2014-01-09,2014-01-09,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010060732017,202300004072017,3076,2017,407,2017,SC,2018-05-31,2017-07-11,2017-07-11,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010006122013,202300567322016,52199,2013,56732,2016,SC,2018-05-26,2013-10-10,2013-10-10,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010000112014,202300558772016,8147,2014,55877,2016,SC,2018-12-17,2014-02-15,2014-02-15,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010037532016,202300578812016,44157,2016,57881,2016,SC,2016-12-09,2016-07-04,2016-07-04,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010087332018,202300006582018,4403,2018,658,2018,SC,2018-10-06,2018-09-22,2018-09-22,PROCEEDING STOP,47
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010098752018,202300007352018,5009,2018,735,2018,SC,2018-10-30,2018-10-30,2018-10-30,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010060472017,202300004012017,3064,2017,401,2017,SC,2018-04-11,2017-07-10,2017-07-10,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010006782017,202300000522017,351,2017,52,2017,SC,2017-05-24,2017-01-24,2017-01-24,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010074172016,202300581042016,46006,2016,58104,2016,SC,2017-06-07,2016-10-03,2016-10-03,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010011692013,202300575422016,13558,2013,57542,2016,SC,2016-11-19,2013-03-18,2013-03-18,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010069472017,202300004632017,3465,2017,463,2017,SC,2018-04-11,2017-08-02,2017-08-02,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010074062017,202300005002017,3744,2017,500,2017,SC,2017-10-23,2017-08-18,2017-08-21,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010000532014,202300559402016,61809,2014,55940,2016,SC,2017-12-21,2014-12-03,2014-12-03,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010013952014,202300572352016,5223,2014,57235,2016,SC,2019-12-07,2014-01-29,2014-01-29,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010098762018,202300007332018,5010,2018,733,2018,SC,2018-10-30,2018-10-30,2018-10-30,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010074162016,202300581092016,46005,2016,58109,2016,SC,2016-11-22,2016-10-03,2016-10-03,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010012482014,202300570942016,17006,2014,57094,2016,SC,2019-12-12,2014-04-11,2014-04-11,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010100122018,202300007462018,5088,2018,746,2018,SC,2018-11-02,2018-11-02,2018-11-02,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010087252018,202300006562018,4395,2018,656,2018,SC,2018-10-10,2018-09-22,2018-09-22,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010044522018,202300002992018,2185,2018,299,2018,SC,2018-09-06,2018-05-17,2018-05-18,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010009702014,202300568312016,4684,2014,56831,2016,SC,2019-09-19,2014-01-27,2014-01-27,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010010522013,202300573222016,19488,2013,57322,2016,SC,2019-10-23,2013-04-22,2013-04-22,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010003612013,202300564072016,29200,2013,56407,2016,SC,2017-05-17,2013-06-06,2013-06-06,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010093562017,202300006102017,4719,2017,610,2017,SC,2018-01-16,2017-10-16,2017-10-16,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010013552014,202300572032016,30576,2014,57203,2016,SC,2018-02-01,2014-07-05,2014-07-05,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010070912017,202300004712017,3557,2017,471,2017,SC,2020-02-29,2017-08-08,2017-08-08,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010007832015,202300564262016,52194,2015,56426,2016,SC,2019-07-20,2015-09-29,2015-09-29,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010046832019,202300003352019,2165,2019,335,2019,SC,2019-09-24,2019-06-07,2019-06-07,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010014722016,202300575352016,42491,2016,57535,2016,SC,2018-04-03,2016-06-06,2016-06-06,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010006272014,202300565202016,4281,2014,56520,2016,SC,2016-12-02,2014-01-24,2014-01-24,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010003162013,202300563442016,32392,2013,56344,2016,SC,2017-12-19,2013-07-04,2013-07-04,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010011362017,202300000892017,592,2017,89,2017,SC,2017-05-20,2017-02-08,2017-02-08,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010067802016,202300580712016,45625,2016,58071,2016,SC,2016-12-21,2016-09-17,2016-09-17,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010110952017,202300007252017,5603,2017,725,2017,SC,2018-06-02,2017-12-07,2017-12-15,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010032762016,202300578632016,43834,2016,57863,2016,SC,2017-09-26,2016-06-20,2016-06-20,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010056102016,202300579972016,44990,2016,57997,2016,SC,2019-11-29,2016-08-12,2016-08-22,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010010402014,202300568792016,32440,2014,56879,2016,SC,2016-10-07,2014-07-15,2014-07-15,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010003972016,202300563572016,41403,2016,56357,2016,SC,2018-07-26,2016-06-02,2016-06-02,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010116852017,202300007372017,5889,2017,737,2017,SC,2017-12-23,2017-12-23,2017-12-23,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010087222018,202300006552018,4392,2018,655,2018,SC,2018-12-15,2018-09-22,2018-09-22,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010005722016,202300566122016,36988,2016,56612,2016,SC,2018-01-16,2016-05-17,2016-05-17,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010017982014,202300576802016,35462,2014,57680,2016,SC,2019-08-21,2014-07-28,2014-07-28,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010003702017,202300000312016,187,2017,31,2016,SC,2017-02-22,2016-11-15,2016-11-15,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010000852018,202300000142018,33,2018,14,2018,SC,2018-02-05,2018-01-04,2018-01-04,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010020522019,202300001452019,923,2019,145,2019,SC,2019-09-24,2019-03-15,2019-03-15,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010071992017,202300004772017,3621,2017,477,2017,SC,2017-11-03,2017-08-10,2017-08-10,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010073652018,202300005362018,3744,2018,536,2018,SC,2020-02-07,2018-08-13,2018-08-13,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010104862017,202300006832017,5347,2017,683,2017,SC,2018-02-15,2017-11-21,2017-11-21,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010046282013,202304721012013,18751,2013,472101,2013,SC,2015-04-25,2013-04-17,2013-04-17,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010003232017,202300000302017,161,2017,30,2017,SC,2017-01-16,2017-01-11,2017-01-11,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010009122014,202300567712016,39442,2014,56771,2016,SC,2017-06-07,2014-08-21,2014-08-21,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010045212018,202300003012018,2220,2018,301,2018,SC,2019-09-26,2018-05-18,2018-05-18,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010023342016,202300577982016,26992,2016,57798,2016,SC,2017-09-06,2016-04-11,2016-04-11,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010000672015,202300558982016,46207,2015,55898,2016,SC,2018-09-29,2015-09-01,2015-09-01,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010058742016,202300579962016,45135,2016,57996,2016,SC,2017-05-19,2016-08-22,2016-08-22,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010058392017,202300003772017,2965,2017,377,2017,SC,2017-09-08,2017-07-04,2017-07-04,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010041812016,202300578942016,44338,2016,57894,2016,SC,2017-07-18,2016-07-15,2016-07-15,P.O. CONSIGN,12
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010087032016,202300581982016,46716,2016,58198,2016,SC,2017-01-16,2016-11-10,2016-11-10,CLUBBED IN FIR,70
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010021172018,202300001452018,1002,2018,145,2018,SC,2019-11-29,2018-03-08,2018-03-08,QUASH,17
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010005822015,202300562952016,32931,2015,56295,2016,SC,2018-09-20,2015-06-29,2015-06-29,QUASH,17
1,Karnal,14,Haryana,1,"Criminal Courts, Assandh",HRKRA1,HRKRA10001222019,204700000312019,122,2019,31,2019,REMP,2019-01-23,2019-01-23,2019-01-23,PARTLY DECREED WITH COSTS,11
